         130657 function calls (127146 primitive calls) in 28.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:617(AuthMetadataPlugin)
        1    0.000    0.000    0.000    0.000 __init__.py:634(ServerCredentials)
        1    0.000    0.000    0.000    0.000 __init__.py:645(ServerCertificateConfiguration)
        1    0.000    0.000    0.000    0.000 __init__.py:663(UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 __init__.py:683(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:725(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:762(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:765(UnaryStreamMultiCallable)
       12    0.000    0.000    0.000    0.000 __init__.py:767(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:800(StreamUnaryMultiCallable)
        3    0.000    0.000    0.000    0.000 __init__.py:834(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:844(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:853(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:882(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:904(StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 __init__.py:942(Channel)
        1    0.000    0.000    0.000    0.000 __init__.py:953(setFormatter)
        1    0.000    0.000    0.001    0.001 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:5984(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:16(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(type_aliases_gen)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:52(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:58(<genexpr>)
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:59(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _asarray.py:110(asanyarray)
        9    0.000    0.000    0.000    0.000 _asarray.py:23(asarray)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:314(Future)
        1    0.000    0.000    0.003    0.003 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:550(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:632(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base_call.py:138(UnaryUnaryCall)
