4.930765151977539s 	18506294 photons in 1008640 bins
6.299368858337402s 	18506294 photons in 1008640 bins
         9174210 function calls (9172717 primitive calls) in 11.281 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _call.py:486(UnaryUnaryCall)
        1    0.000    0.000    0.000    0.000 _call.py:535(UnaryStreamCall)
        1    0.000    0.000    0.000    0.000 _call.py:576(StreamUnaryCall)
        1    0.000    0.000    0.000    0.000 _call.py:60(AioRpcError)
        1    0.000    0.000    0.000    0.000 _call.py:613(StreamStreamCall)
        1    0.000    0.000    0.000    0.000 _channel.py:1032(_UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:1035(__init__)
        1    0.000    0.000    0.004    0.004 _channel.py:1044(__call__)
        1    0.000    0.000    0.000    0.000 _channel.py:1085(_StreamUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:116(UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:1171(_StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:1216(_InitialMetadataFlags)
        2    0.000    0.000    0.000    0.000 _channel.py:1219(__new__)
        2    0.000    0.000    0.000    0.000 _channel.py:1223(with_wait_for_ready)
        1    0.000    0.000    0.000    0.000 _channel.py:1234(_ChannelCallState)
        1    0.000    0.000    0.000    0.000 _channel.py:1236(__init__)
        1    0.000    0.000    0.000    0.000 _channel.py:1245(__del__)
        1    0.000    0.000    0.000    0.000 _channel.py:1253(_run_channel_spin_thread)
        2    0.000    0.000    0.000    0.000 _channel.py:1273(_channel_managed_call_management)
        1    0.000    0.000    0.000    0.000 _channel.py:1276(create)
        3    0.000    0.000    0.000    0.000 _channel.py:1296(<genexpr>)
        1    0.000    0.000    0.000    0.000 _channel.py:1314(_ChannelConnectivityState)
        1    0.000    0.000    0.000    0.000 _channel.py:1316(__init__)
        1    0.000    0.000    1.513    1.513 _channel.py:135(_handle_event)
        2    0.000    0.000    0.002    0.001 _channel.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _channel.py:1442(_augment_options)
        1    0.000    0.000    0.000    0.000 _channel.py:1450(_separate_channel_options)
        1    0.000    0.000    0.000    0.000 _channel.py:1462(Channel)
        1    0.000    0.000    0.000    0.000 _channel.py:1465(__init__)
        1    0.000    0.000    0.000    0.000 _channel.py:147(UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _channel.py:1485(_process_python_options)
        1    0.000    0.000    0.000    0.000 _channel.py:1497(unary_unary)
        1    0.000    0.000    0.000    0.000 _channel.py:1505(unary_stream)
        2    0.000    0.000    0.000    0.000 _channel.py:1540(_unsubscribe_all)
        1    0.000    0.000    0.000    0.000 _channel.py:1546(_close)
        1    0.000    0.000    0.000    0.000 _channel.py:1556(__enter__)
